carrier,season,orders,median_transit_hrs,p90_transit_hrs
BudgetPost,Winter,962,220.0,283.0
BudgetPost,Spring,805,150.0,205.0
BudgetPost,Summer,898,150.0,204.0
BudgetPost,Fall,1070,144.0,202.0
ExpressCarriers,Winter,399,43.0,51.2
ExpressCarriers,Spring,354,36.0,47.0
ExpressCarriers,Summer,389,37.0,47.0
ExpressCarriers,Fall,507,37.0,46.0
FastShip,Winter,415,57.0,77.6
FastShip,Spring,420,48.0,68.0
FastShip,Summer,434,51.0,71.0
FastShip,Fall,525,49.0,70.0
NationWide,Winter,862,124.0,162.0
NationWide,Spring,761,99.0,137.0
NationWide,Summer,801,96.0,137.0
NationWide,Fall,947,97.0,135.4
PrimeLogistics,Winter,870,74.0,104.0
PrimeLogistics,Spring,715,62.0,91.0
PrimeLogistics,Summer,810,62.0,90.0
PrimeLogistics,Fall,935,62.0,91.0
