order_month,order_count,gross_revenue,gross_profit,avg_order_value,return_orders,late_orders,late_pct,return_pct
2023-01-01,386,219921.97,49669.73,569.75,72,152,39.38,18.65
2023-02-01,408,243768.41,57374.44,597.47,83,187,45.83,20.34
2023-03-01,474,261189.13,59363.86,551.03,71,118,24.89,14.98
2023-04-01,438,250162.84,58323.09,571.15,81,109,24.89,18.49
2023-05-01,490,249486.83,61841.02,509.16,91,119,24.29,18.57
2023-06-01,549,310746.51,71520.52,566.02,121,153,27.87,22.04
2023-07-01,522,269025.23,63507.1,515.37,94,120,22.99,18.01
2023-08-01,550,312634.22,73348.82,568.43,107,124,22.55,19.45
2023-09-01,567,321064.8,76550.02,566.25,114,135,23.81,20.11
2023-10-01,593,310050.29,74811.54,522.85,100,137,23.1,16.86
2023-11-01,740,425469.97,97969.07,574.96,126,182,24.59,17.03
2023-12-01,874,434501.96,105351.33,497.14,163,389,44.51,18.65
2024-01-01,510,288245.76,68371.48,565.19,91,229,44.9,17.84
2024-02-01,484,284273.76,65232.57,587.34,97,237,48.97,20.04
2024-03-01,583,315169.62,72213.07,540.6,99,138,23.67,16.98
2024-04-01,616,323580.2,77224.66,525.29,121,141,22.89,19.64
2024-05-01,703,390755.75,89396.63,555.84,140,155,22.05,19.91
2024-06-01,637,345371.55,84127.22,542.18,120,159,24.96,18.84
2024-07-01,634,362732.58,86281.86,572.13,125,173,27.29,19.72
2024-08-01,681,363338.54,82400.11,533.54,145,175,25.7,21.29
2024-09-01,731,396551.93,93257.7,542.48,152,192,26.27,20.79
2024-10-01,772,412416.88,101028.7,534.22,159,167,21.63,20.6
2024-11-01,913,528075.03,118084.71,578.4,191,190,20.81,20.92
2024-12-01,1145,657475.07,152162.03,574.21,209,513,44.8,18.25
